representacao,tipo,algoritmo,vertices,densidade,execucao,tempo_ns,memoria_bytes
MA,denso,Dijkstra,200,0.60,6,523200,1866912
LA,denso,Bellman-Ford,200,0.60,6,5690200,3040224
MA,denso,Bellman-Ford,200,0.60,6,4305500,1866912
LA,denso,Dijkstra,200,0.60,7,418600,3040224
MA,denso,Dijkstra,200,0.60,7,533300,1866912
LA,denso,Bellman-Ford,200,0.60,7,8295600,3040224
MA,denso,Bellman-Ford,200,0.60,7,4314400,1866912
LA,denso,Dijkstra,200,0.60,8,265900,3040224
MA,denso,Dijkstra,200,0.60,8,615000,1866912
LA,denso,Bellman-Ford,200,0.60,8,5977400,3040224
MA,denso,Bellman-Ford,200,0.60,8,4364600,1866912
LA,denso,Dijkstra,200,0.60,9,246100,3040224
MA,denso,Dijkstra,200,0.60,9,659700,1866912
LA,denso,Bellman-Ford,200,0.60,9,6353500,3040224
MA,denso,Bellman-Ford,200,0.60,9,6635000,1866912
LA,denso,Dijkstra,200,0.60,10,360900,3040224
MA,denso,Dijkstra,200,0.60,10,923100,1866912
LA,denso,Bellman-Ford,200,0.60,10,8212100,3040224
MA,denso,Bellman-Ford,200,0.60,10,4391400,1866912
LA,denso,Dijkstra,200,0.80,1,761400,6477184
MA,denso,Dijkstra,200,0.80,1,3154900,6173080
LA,denso,Bellman-Ford,200,0.80,1,21436900,6477184
MA,denso,Bellman-Ford,200,0.80,1,8589400,6173080
LA,denso,Dijkstra,200,0.80,2,409200,6477184
MA,denso,Dijkstra,200,0.80,2,551900,6173080
LA,denso,Bellman-Ford,200,0.80,2,8463500,6477184
MA,denso,Bellman-Ford,200,0.80,2,5416200,6173080
LA,denso,Dijkstra,200,0.80,3,328800,6477184
MA,denso,Dijkstra,200,0.80,3,1916300,6173080
LA,denso,Bellman-Ford,200,0.80,3,9166400,6477184
MA,denso,Bellman-Ford,200,0.80,3,5225900,6173080
LA,denso,Dijkstra,200,0.80,4,497100,6477184
MA,denso,Dijkstra,200,0.80,4,539700,6173080
LA,denso,Bellman-Ford,200,0.80,4,10248300,6477184
MA,denso,Bellman-Ford,200,0.80,4,6883700,6173080
LA,denso,Dijkstra,200,0.80,5,363600,6477184
MA,denso,Dijkstra,200,0.80,5,587200,6173080
